"","strategy_rep","timepoint","mc_or_uni","rev_mut_ID","avg_workload","workload_sd","avg_growth_rate","growth_rate_sd","rel_fitness","num_iterations_F1","num_iterations_F2","proportion_fertile","label"
"5717",3451,"transition","uni","17_1",85.5522388059701,86.9906444956025,0.00302520239011756,0.000280404280146966,0.949236955636576,67,67,1,"DW.31"
"5718",3451,"transition","uni","17_2",95.5873015873016,115.280952028796,0.00301440777519987,0.000295571030284161,0.945849860797827,63,63,1,"DW.31"
"5719",3451,"transition","uni","17_3",127.181818181818,160.883322183014,0.00298126051706982,0.000338012940538559,0.935449035220716,66,66,1,"DW.31"
"5720",3451,"transition","uni","17_5",112.044776119403,169.463541518864,0.00305504977978344,0.000331284970412706,0.958602360540621,67,67,1,"DW.31"
"5721",3451,"transition","uni","17_6",123.535714285714,180.511491881538,0.00298013892444189,0.000307707037556797,0.935097105982831,56,56,1,"DW.31"
"5722",3451,"transition","uni","17_7",118.315068493151,123.8797441868,0.00294561877562618,0.000360096719744919,0.924265499781214,73,73,1,"DW.31"
"5723",3451,"transition","uni","17_8",86.6969696969697,126.967102910341,0.00305444772288693,0.000296154011039759,0.958413449326801,66,66,1,"DW.31"
"5724",3451,"transition","uni","17_9",76.78125,109.326722905563,0.00304729525310352,0.000278001604218138,0.956169173484412,64,64,1,"DW.31"
"5725",3451,"transition","uni","17_10",105.96875,137.64654168016,0.00299116512212407,0.00029739303384522,0.938556866015507,64,64,1,"DW.31"
"5726",3451,"transition","uni","17_11",99.8412698412698,98.5468950672407,0.00303131428842178,0.00026792521410912,0.951154724761182,63,63,1,"DW.31"
"5727",3451,"transition","uni","17_12",115.507692307692,150.635437716873,0.00301490075919666,0.000282787783392124,0.946004547515587,65,65,1,"DW.31"
"5728",3451,"transition","uni","17_13",118.932203389831,134.877065917741,0.00293680182141215,0.000342566907137331,0.921498948094142,59,59,1,"DW.31"
"5729",3451,"transition","uni","17_14",94.3076923076923,106.761551347636,0.00299076658458682,0.00033573895779503,0.93843181436283,65,65,1,"DW.31"
"5730",3451,"transition","uni","17_15",74.9838709677419,83.1771745044303,0.003054747705658,0.000299053669384383,0.958507576824943,62,62,1,"DW.31"
"5731",3451,"transition","uni","17_16",93.4516129032258,136.119604762263,0.00301583968791229,0.000312530024385885,0.946299161138297,62,62,1,"DW.31"
"5732",3451,"transition","uni","17_17",115.107692307692,132.660294912057,0.00300808602535265,0.00028612486412615,0.943866245222594,65,65,1,"DW.31"
"5733",3451,"transition","uni","17_18",80.5409836065574,104.628162838771,0.00298129682241435,0.000384836324334836,0.93546042697911,61,61,1,"DW.31"
"5734",3451,"transition","uni","17_19",113.31884057971,150.471952902861,0.00304573409480192,0.000314902557005949,0.95567931893507,69,69,1,"DW.31"
"5735",3451,"transition","uni","17_20",100.569444444444,112.511636504776,0.00300789791590047,0.000311630560359103,0.943807220925807,72,72,1,"DW.31"
"5736",3451,"transition","uni","17_21",88.8115942028985,109.115868711998,0.00305863700053775,0.000278112617563084,0.959727945565656,69,69,1,"DW.31"
"5737",3451,"transition","uni","17_22",96.7142857142857,91.5420459120958,0.00302397657266341,0.000300813214104995,0.948852323113426,70,70,1,"DW.31"
"5738",3451,"transition","uni","17_25",119.633333333333,155.745442751475,0.00306826165602613,0.000300422008816786,0.962747934808256,60,60,1,"DW.31"
"5739",3451,"transition","uni","17_26",83.2238805970149,108.706000628261,0.0030531703087835,0.000269359485563336,0.958012626995514,67,67,1,"DW.31"
"5740",3451,"transition","uni","17_27",102.971830985915,153.27966707306,0.00299296648434791,0.000310359703187639,0.939122090874163,71,71,1,"DW.31"
"5741",3451,"transition","uni","17_28",107.866666666667,120.786471723502,0.00300821927737603,0.000269371764762943,0.943908056555752,60,60,1,"DW.31"
"5742",3451,"transition","uni","17_29",87.7971014492754,111.675156501839,0.00302993245932338,0.000286407032923479,0.950721139474176,69,69,1,"DW.31"
